component_code,component_title,component_concept_id,class_code,class_title,class_concept_id
orelabrutinib_ICP022,Orelabrutinib (ICP-022),,btk_inhibitors,BTK Inhibitors,35807208
orelabrutinib_ICP022,Orelabrutinib (ICP-022),,covalent_btk_inhibitors,Covalent BTK Inhibitors,
orelabrutinib_ICP022,Orelabrutinib (ICP-022),,kinase_inhibitors,Kinase Inhibitors,35807197
orelabrutinib_ICP022,Orelabrutinib (ICP-022),,targeted_therapy,Targeted Therapy,912163
orelabrutinib_ICP022,Orelabrutinib (ICP-022),,tyrosine_kinase_inhibitors_(tkis),Tyrosine Kinase Inhibitors (TKIs),
splenectomy,Splenectomy,4125482,surgery,Surgery,45888085
chemoimmunotherapy_regimen,Chemoimmunotherapy Regimen,619763,chemoimmunotherapy,Chemoimmunotherapy,35803403
methotrexate,Methotrexate,1305058,chemotherapy,Chemotherapy,4273629
methotrexate,Methotrexate,1305058,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
hyperfractionated_cyclophosphamide,Hyperfractionated Cyclophosphamide,,chemotherapy,Chemotherapy,4273629
hyperfractionated_cyclophosphamide,Hyperfractionated Cyclophosphamide,,chemotherapy_(alkylating_agent),Chemotherapy (Alkylating Agent),35807238
hyperfractionated_cyclophosphamide,Hyperfractionated Cyclophosphamide,,immunomodulatory_drugs_(imids),Immunomodulatory Drugs (IMiDs),35807403
cytarabine,Cytarabine,1311078,chemotherapy,Chemotherapy,4273629
cytarabine,Cytarabine,1311078,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
trimethoprim,Trimethoprim,1705674,cyp2c8_inhibitors,CYP2C8 inhibitors,19403357
trimethoprim,Trimethoprim,1705674,cyp450_modulators,CYP450 Modulators,
trimethoprim,Trimethoprim,1705674,pjp_prophylaxis,PJP/PCP prophylaxis,3655482
sulfamethoxazole,Sulfamethoxazole,1836430,cyp2c9_inhibitors,CYP2C9 inhibitors,19403358
sulfamethoxazole,Sulfamethoxazole,1836430,cyp450_modulators,CYP450 Modulators,
sulfamethoxazole,Sulfamethoxazole,1836430,pjp_prophylaxis,PJP/PCP prophylaxis,3655482
allopurinol,Allopurinol,1167322,antiviral_prophylaxis,Antiviral Prophylaxis,619308
allopurinol,Allopurinol,1167322,antivirals,Antivirals,35804586
acyclovir,Acyclovir,1703687,antiviral_prophylaxis,Antiviral Prophylaxis,619308
acyclovir,Acyclovir,1703687,antivirals,Antivirals,35804586
valacyclovir,Valacyclovir,1717704,antiviral_prophylaxis,Antiviral Prophylaxis,619308
valacyclovir,Valacyclovir,1717704,antivirals,Antivirals,35804586
lamivudine,Lamivudine,1704183,antiviral_prophylaxis,Antiviral Prophylaxis,619308
lamivudine,Lamivudine,1704183,antivirals,Antivirals,35804586
lamivudine,Lamivudine,1704183,hbv_prophylaxis,HBV Prophylaxis,
entecavir,Entecavir,1711246,antiviral_prophylaxis,Antiviral Prophylaxis,619308
entecavir,Entecavir,1711246,antivirals,Antivirals,35804586
entecavir,Entecavir,1711246,hbv_prophylaxis,HBV Prophylaxis,
tenofovir,Tenofovir,19011093,antiviral_prophylaxis,Antiviral Prophylaxis,619308
tenofovir,Tenofovir,19011093,antivirals,Antivirals,35804586
tenofovir,Tenofovir,19011093,hbv_prophylaxis,HBV Prophylaxis,
chlorambucil,Chlorambucil,1390051,chemotherapy,Chemotherapy,4273629
chlorambucil,Chlorambucil,1390051,chemotherapy_(alkylating_agent),Chemotherapy (Alkylating Agent),35807238
chlorambucil,Chlorambucil,1390051,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
methylprednisolone,Methylprednisolone,1506270,corticosteroids,Corticosteroids,35803578
methylprednisolone,Methylprednisolone,1506270,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
pirtobrutinib,Pirtobrutinib,1301683,btk_inhibitors,BTK Inhibitors,35807208
pirtobrutinib,Pirtobrutinib,1301683,kinase_inhibitors,Kinase Inhibitors,35807197
pirtobrutinib,Pirtobrutinib,1301683,non_covalent_btk_inhibitors,Non-covalent BTK Inhibitors,
pirtobrutinib,Pirtobrutinib,1301683,targeted_therapy,Targeted Therapy,912163
pirtobrutinib,Pirtobrutinib,1301683,tyrosine_kinase_inhibitors_(tkis),Tyrosine Kinase Inhibitors (TKIs),
alemtuzumab,Alemtuzumab,1312706,anti_cd52_monoclonal_antibodies,Anti-CD52 Monoclonal Antibodies,35807231
alemtuzumab,Alemtuzumab,1312706,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
alemtuzumab,Alemtuzumab,1312706,immunotherapy,Immunotherapy,35807189
alemtuzumab,Alemtuzumab,1312706,monoclonal_antibodies,Monoclonal Antibodies,21603754
fludarabine,Fludarabine,1395557,chemotherapy,Chemotherapy,4273629
fludarabine,Fludarabine,1395557,chemotherapy_(alkylating_agent),Chemotherapy (Alkylating Agent),35807238
fludarabine,Fludarabine,1395557,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
zanubrutinib,Zanubrutinib,37497691,btk_inhibitors,BTK Inhibitors,35807208
zanubrutinib,Zanubrutinib,37497691,covalent_btk_inhibitors,Covalent BTK Inhibitors,
zanubrutinib,Zanubrutinib,37497691,kinase_inhibitors,Kinase Inhibitors,35807197
zanubrutinib,Zanubrutinib,37497691,targeted_therapy,Targeted Therapy,912163
zanubrutinib,Zanubrutinib,37497691,tyrosine_kinase_inhibitors_(tkis),Tyrosine Kinase Inhibitors (TKIs),
ibrutinib,Ibrutinib,44507848,btk_inhibitors,BTK Inhibitors,35807208
ibrutinib,Ibrutinib,44507848,covalent_btk_inhibitors,Covalent BTK Inhibitors,
ibrutinib,Ibrutinib,44507848,kinase_inhibitors,Kinase Inhibitors,35807197
ibrutinib,Ibrutinib,44507848,targeted_therapy,Targeted Therapy,912163
ibrutinib,Ibrutinib,44507848,tyrosine_kinase_inhibitors_(tkis),Tyrosine Kinase Inhibitors (TKIs),
acalabrutinib,Acalabrutinib,792764,btk_inhibitors,BTK Inhibitors,35807208
acalabrutinib,Acalabrutinib,792764,covalent_btk_inhibitors,Covalent BTK Inhibitors,
acalabrutinib,Acalabrutinib,792764,kinase_inhibitors,Kinase Inhibitors,35807197
acalabrutinib,Acalabrutinib,792764,targeted_therapy,Targeted Therapy,912163
acalabrutinib,Acalabrutinib,792764,tyrosine_kinase_inhibitors_(tkis),Tyrosine Kinase Inhibitors (TKIs),
induction_therapy,Induction Therapy,,induction_therapy,Induction Therapy,35803433
high_dose_melphalan,High Dose Melphalan (140-200),,chemotherapy,Chemotherapy,4273629
high_dose_melphalan,High Dose Melphalan (140-200),,chemotherapy_(alkylating_agent),Chemotherapy (Alkylating Agent),35807238
high_dose_melphalan,High Dose Melphalan (140-200),,high_dose_chemotherapy,High Dose Chemotherapy,
vrd_lite_triplet,VRd-lite triplet,,induction_therapy,Induction Therapy,35803433
rd_doublet,Rd doublet,,induction_therapy,Induction Therapy,35803433
kd_doublet,Kd doublet,,induction_therapy,Induction Therapy,35803433
dara_rd_triplet,Dara-Rd triplet,,induction_therapy,Induction Therapy,35803433
vmp_triplet,VMP triplet,,induction_therapy,Induction Therapy,35803433
vcd_triplet,VCD triplet,,induction_therapy,Induction Therapy,35803433
krd_triplet,KRd triplet,,induction_therapy,Induction Therapy,35803433
vtd_triplet,VTd triplet,,induction_therapy,Induction Therapy,35803433
vrd_triplet,VRd triplet,,induction_therapy,Induction Therapy,35803433
isa_krd quadruplet,Isa-KRd quadruplet,,induction_therapy,Induction Therapy,35803433
dara_vmp quadruplet,Dara-VMP quadruplet,,induction_therapy,Induction Therapy,35803433
isa_vrd_quadruplet,Isa_VRd quadruplet,,induction_therapy,Induction Therapy,35803433
dara_vrd_quadruplet,Dara-VRd quadruplet,,induction_therapy,Induction Therapy,35803433
high_risk-smoldering_mm_treatment,High-Risk Smoldering MM Treatment,,treatment_for_high_risk_smoldering_multiple_myeloma,Treatment for High-Risk Smoldering Multiple Myeloma,
investigational_agent,Investigational Agent,35807195,,,
diclofenac_potassium,Diclofenac Potassium,19132917,nsaids,NSAIDs,35807487
diclofenac_sodium,Diclofenac Sodium,19026850,nsaids,NSAIDs,35807487
naproxen_sodium,Naproxen Sodium,1115008,nsaids,NSAIDs,35807487
ibuprofen,Ibuprofen,1177480,nsaids,NSAIDs,35807487
herbal_supplement,Herbal Supplement,4167042,herbal_supplements,Herbal Supplements,4167042
hiv_antiretroviral,HIV Antiretroviral,37017291,antiretroviral_therapy,Antiretroviral Therapy,45876157
analgesic_opioid_agent,Analgesic Opioid Agent,21604200,opioid_therapies,Opioid Therapies,21604200
Aspirin,Aspirin,1112807,nsaids,NSAIDs,35807487
antiviral,Antiviral,35625639,antivirals,Antivirals,35804586
intranasal_corticosteroid,Intranasal corticosteroid,37154565,corticosteroids,Corticosteroids,35803578
intranasal_corticosteroid,Intranasal corticosteroid,37154565,supportive_therapy,Supportive Therapy,35803413
topical_corticosteroid,Topical corticosteroid,723738,corticosteroids,Corticosteroids,35803578
topical_corticosteroid,Topical corticosteroid,723738,supportive_therapy,Supportive Therapy,35803413
inhaled_corticosteroid,Inhaled corticosteroid,46272454,corticosteroids,Corticosteroids,35803578
inhaled_corticosteroid,Inhaled corticosteroid,46272454,supportive_therapy,Supportive Therapy,35803413
mineralocorticoid,Mineralocorticoid,4304112,corticosteroids,Corticosteroids,35803578
mineralocorticoid,Mineralocorticoid,4304112,hormonal_therapy,Hormonal Therapy,21603812
immunosuppressant,Immunosuppressant,4158265,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
systemic_corticosteroid,Systemic Corticosteroid,723814,corticosteroids,Corticosteroids,35803578
systemic_corticosteroid,Systemic Corticosteroid,723814,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
systemic_corticosteroid,Systemic Corticosteroid,723814,supportive_therapy,Supportive Therapy,35803413
involved_field_radiotherapy_(ifrt),Involved Field Radiotherapy (IFRT),35803489,radiotherapy,Radiotherapy,35807298
low_dose_radiotherapy,Low Dose Radiotherapy,1242725,radiotherapy,Radiotherapy,35807298
palliative_radiotherapy,Palliative Radiotherapy,1447493,radiotherapy,Radiotherapy,35807298
lhrh_gnrh_agonist,LHRH/GnRH agonist,21603823,hormonal_therapy,Hormonal Therapy,21603812
ivig,IVIG (intravenous immunoglobulin),35805783,immunoglobulin_replacement_therapy,Immunoglobulin Replacement Therapy,
ivig,IVIG (intravenous immunoglobulin),35805783,immunotherapy,Immunotherapy,35807189
neoadjuvant_hormonal_therapy,Neoadjuvant Hormonal Therapy,,hormonal_therapy,Hormonal Therapy,21603812
adjuvant_hormonal_therapy,Adjuvant Hormonal Therapy,,hormonal_therapy,Hormonal Therapy,21603812
neoadjuvant_chemotherapy,Neoadjuvant Chemotherapy,,chemotherapy,Chemotherapy,4273629
adjuvant_chemotherapy,Adjuvant Chemotherapy,,chemotherapy,Chemotherapy,4273629
adjuvant_radiotherapy,Adjuvant Radiotherapy,,radiotherapy,Radiotherapy,35807298
ipsilateral-breast-radiation,Ipsilateral Breast Radiation,4177684,radiotherapy,Radiotherapy,35807298
warfarin,Warfarin,1310149,anticoagulants,Anticoagulants,35101524
heparin,Heparin,1367571,anticoagulants,Anticoagulants,35101524
axillary_lymph_node_dissection_(alnd),Axillary Lymph Node Dissection (ALND),4120961,surgery,Surgery,45888085
sentinel_lymph_node-biopsy_(slnb),Sentinel Lymph Node Biopsy (SLNB),4071443,diagnostic_tool,Diagnostic Tool,
sentinel_lymph_node-biopsy_(slnb),Sentinel Lymph Node Biopsy (SLNB),4071443,surgery,Surgery,45888085
ibritumomab_tiuxetan,Ibritumomab tiuxetan,19068830,anti_cd20_monoclonal_antibodies,Anti-CD20 Monoclonal Antibodies,35807389
ibritumomab_tiuxetan,Ibritumomab tiuxetan,19068830,immunosuppressive_drugs,Immunosuppressive Drugs,35803409
ibritumomab_tiuxetan,Ibritumomab tiuxetan,19068830,immunotherapy,Immunotherapy,35807189
ibritumomab_tiuxetan,Ibritumomab tiuxetan,19068830,monoclonal_antibodies,Monoclonal Antibodies,21603754
ibritumomab_tiuxetan,Ibritumomab tiuxetan,19068830,radioimmunotherapy_(rit),Radioimmunotherapy (RIT),4043010
ibritumomab_tiuxetan,Ibritumomab tiuxetan,19068830,radiotherapy,Radiotherapy,35807298
ibritumomab_tiuxetan,Ibritumomab tiuxetan,19068830,targeted_therapy,Targeted Therapy,912163
estrogen,Estrogen,19049228,hormonal_therapy,Hormonal Therapy,21603812
abemaciclib,Abemaciclib,792649,cdk4_6_inhibitors,CDK4/6 inhibitors,37557727
abemaciclib,Abemaciclib,792649,kinase_inhibitors,Kinase Inhibitors,35807197
abemaciclib,Abemaciclib,792649,targeted_therapy,Targeted Therapy,912163
ribociclib,Ribociclib,1592911,cdk4_6_inhibitors,CDK4/6 inhibitors,37557727
ribociclib,Ribociclib,1592911,kinase_inhibitors,Kinase Inhibitors,35807197
ribociclib,Ribociclib,1592911,targeted_therapy,Targeted Therapy,912163
