therapy_code,disease,round
orelabrutinib,MCL,later_line_therapy
orelabrutinib,MCL,second_line_therapy
orelabrutinib,C2987,later_line_therapy
orelabrutinib,C2987,second_line_therapy
brexu_cel,MCL,later_line_therapy
brexu_cel,MCL,second_line_therapy
palliative_splenectomy,MCL,supportive_therapy
r_chop_r_dhap,MCL,first_line_therapy
r_hcvad_r_ma,MCL,first_line_therapy
r_dhap,MCL,first_line_therapy
r_dhap,MCL,later_line_therapy
r_dhap,MCL,second_line_therapy
vr_cap,MCL,first_line_therapy
vr_cap,MCL,later_line_therapy
vr_cap,MCL,second_line_therapy
abr,MCL,first_line_therapy
r_idelalisib,C2987,later_line_therapy
r_idelalisib,C2987,second_line_therapy
acalabrutinib_venetoclax,C2987,first_line_therapy
acalabrutinib_venetoclax,C2987,later_line_therapy
acalabrutinib_venetoclax,C2987,second_line_therapy
bactrim,C2987,supportive_therapy
bactrim,MCL,supportive_therapy
allopurinol,C2987,supportive_therapy
allopurinol,MCL,supportive_therapy
acyclovir,C2987,supportive_therapy
acyclovir,MCL,supportive_therapy
valacyclovir,C2987,supportive_therapy
valacyclovir,MCL,supportive_therapy
lamivudine,C2987,supportive_therapy
lamivudine,MCL,supportive_therapy
entecavir,C2987,supportive_therapy
entecavir,MCL,supportive_therapy
tenofovir,C2987,supportive_therapy
tenofovir,MCL,supportive_therapy
fc,C2987,first_line_therapy
fc,C2987,second_line_therapy
chlorambucil_obinutuzumab,C2987,first_line_therapy
bendamustine_obinutuzumab,C2987,first_line_therapy
obinutuzumab_methylprednisolone,C2987,first_line_therapy
rituximab_methylprednisolone,C2987,first_line_therapy
pirtobrutinib_jaypirca),C2987,later_line_therapy
pirtobrutinib_jaypirca),MCL,later_line_therapy
pirtobrutinib_jaypirca),MCL,second_line_therapy
alemtuzumab_campath,C2987,later_line_therapy
alemtuzumab_campath,MCL,second_line_therapy
alemtuzumab_campath,MCL,later_line_therapy
fludarabine_monotherapy,C2987,second_line_therapy
fludarabine_monotherapy,MCL,second_line_therapy
fludarabine_monotherapy,MCL,later_line_therapy
fcr,C2987,first_line_therapy
fcr,C2987,second_line_therapy
venetoclax_obinutuzumab,C2987,first_line_therapy
venetoclax_obinutuzumab,C2987,later_line_therapy
venetoclax_obinutuzumab,C2987,second_line_therapy
venetoclax_rituximab,C2987,first_line_therapy
venetoclax_rituximab,C2987,later_line_therapy
venetoclax_rituximab,C2987,second_line_therapy
venetoclax_ibrutinib,C2987,first_line_therapy
venetoclax_ibrutinib,MCL,second_line_therapy
