therapy_code,therapy_title,therapy_concept_id,component_code,component_title,component_concept_id
abemaciclib,Abemaciclib (Verzenio),,abemaciclib,Abemaciclib,35802858
abr,ABR,,acalabrutinib,Acalabrutinib,35802861
abr,ABR,,bendamustine,Bendamustine,35802918
abr,ABR,,chemoimmunotherapy_regimen,Chemoimmunotherapy Regimen,
abr,ABR,,rituximab,Rituximab,35803296
acalabrutinib_calquence_monotherapy,Acalabrutinib (Calquence) Monotherapy,,acalabrutinib,Acalabrutinib,35802861
acalabrutinib_obinutuzumab,Acalabrutinib+Obinutuzumab,,acalabrutinib,Acalabrutinib,35802861
acalabrutinib_obinutuzumab,Acalabrutinib+Obinutuzumab,,obinutuzumab,Obinutuzumab,35803211
acalabrutinib_rituximab,Acalabrutinib+Rituximab,,acalabrutinib,Acalabrutinib,35802861
acalabrutinib_rituximab,Acalabrutinib+Rituximab,,rituximab,Rituximab,35803296
acalabrutinib_venetoclax,Acalabrutinib + Venetoclax,,acalabrutinib,Acalabrutinib,35802861
acalabrutinib_venetoclax,Acalabrutinib + Venetoclax,,venetoclax,Venetoclax,35803383
acyclovir,Acyclovir,,acyclovir,Acyclovir,35802865
adjuvant_chemotherapy,Adjuvant Chemotherapy,,adjuvant_chemotherapy,Adjuvant Chemotherapy,
adjuvant_hormonal_therapy,Adjuvant Hormonal Therapy,,adjuvant_hormonal_therapy,Adjuvant Hormonal Therapy,
adjuvant_radiotherapy,Adjuvant Radiotherapy,,adjuvant_radiotherapy,Adjuvant Radiotherapy,
advil_motrin_ib_ibuprofen,Advil / Motrin IB / Ibuprofen,,ibuprofen,Ibuprofen,1177480
agsct,Allogeneic Stem Cell Transplant,,agsct,Allogeneic Stem Cell Transplant,
alemtuzumab_campath,Alemtuzumab (Campath),,alemtuzumab,Alemtuzumab,35802871
aleve,Aleve,,naproxen_sodium,Naproxen Sodium,
allopurinol,Allopurinol,,allopurinol,Allopurinol,35802875
alpelisib_fulvestrant,Alpelisib + Fulvestrant,,alpelisib,Alpelisib,35101867
alpelisib_fulvestrant,Alpelisib + Fulvestrant,,fulvestrant,Fulvestrant,35803089
alpelisib_monotherapy,Alpelisib (Piqray) Monotherapy,,alpelisib,Alpelisib,35101867
anastrozole,Anastrozole (Arimidex),,anastrozole,Anastrozole,35802887
